iter	Passed	Remaining
0	186	93183
1	220	54899
2	243	40316
3	263	32637
4	282	27949
5	299	24698
6	317	22389
7	333	20499
8	349	19062
9	367	18006
10	385	17125
11	402	16376
12	422	15833
13	441	15309
14	459	14841
15	477	14434
16	497	14144
17	516	13838
18	533	13514
19	553	13276
20	569	12991
21	589	12800
22	609	12640
23	627	12445
24	646	12275
25	664	12112
26	681	11940
27	698	11767
28	713	11588
29	729	11426
30	744	11266
31	760	11128
32	776	10991
33	792	10867
34	808	10738
35	823	10619
36	840	10515
37	856	10416
38	873	10321
39	890	10236
40	907	10164
41	924	10078
42	940	9990
43	956	9907
44	971	9819
45	987	9745
46	1005	9689
47	1021	9617
48	1037	9548
49	1053	9479
50	1069	9416
51	1084	9340
52	1098	9265
53	1112	9192
54	1129	9136
55	1145	9078
56	1160	9018
57	1175	8960
58	1190	8902
59	1206	8846
60	1221	8789
61	1236	8733
62	1253	8693
63	1268	8642
64	1283	8590
65	1299	8543
66	1314	8495
67	1330	8452
68	1344	8400
69	1359	8354
70	1375	8310
71	1390	8267
72	1406	8227
73	1420	8179
74	1435	8136
75	1451	8098
76	1466	8057
77	1482	8020
78	1498	7984
79	1514	7949
80	1530	7919
81	1546	7882
82	1562	7851
83	1579	7821
84	1596	7792
85	1612	7762
86	1630	7739
87	1647	7711
88	1665	7690
89	1681	7660
90	1699	7637
91	1717	7617
92	1732	7584
93	1749	7555
94	1765	7527
95	1780	7494
96	1796	7462
97	1812	7436
98	1828	7406
99	1844	7378
100	1861	7353
101	1878	7329
102	1895	7304
103	1912	7280
104	1929	7257
105	1946	7236
106	1962	7209
107	1980	7188
108	1996	7162
109	2014	7140
110	2030	7117
111	2047	7093
112	2064	7071
113	2081	7048
114	2099	7028
115	2117	7008
116	2134	6988
117	2151	6965
118	2167	6938
119	2183	6915
120	2201	6896
121	2218	6873
122	2234	6849
123	2252	6828
124	2267	6803
125	2283	6778
126	2301	6758
127	2317	6733
128	2332	6708
129	2348	6684
130	2364	6660
131	2381	6638
132	2396	6612
133	2412	6590
134	2428	6566
135	2445	6544
136	2462	6524
137	2479	6503
138	2496	6483
139	2513	6464
140	2529	6440
141	2546	6420
142	2562	6397
143	2578	6375
144	2593	6349
145	2608	6323
146	2625	6305
147	2642	6285
148	2657	6259
149	2671	6234
150	2687	6211
151	2702	6186
152	2718	6165
153	2734	6143
154	2749	6119
155	2764	6095
156	2781	6076
157	2797	6054
158	2811	6029
159	2827	6008
160	2843	5987
161	2858	5963
162	2873	5941
163	2889	5920
164	2904	5897
165	2920	5876
166	2936	5854
167	2951	5832
168	2966	5810
169	2983	5790
170	2998	5769
171	3014	5748
172	3029	5726
173	3044	5703
174	3059	5681
175	3074	5660
176	3090	5639
177	3106	5619
178	3122	5599
179	3139	5580
180	3156	5563
181	3172	5542
182	3187	5522
183	3206	5506
184	3220	5484
185	3235	5462
186	3251	5442
187	3266	5421
188	3281	5400
189	3296	5377
190	3311	5357
191	3326	5336
192	3340	5314
193	3356	5293
194	3371	5272
195	3387	5253
196	3404	5235
197	3418	5213
198	3433	5193
199	3449	5174
200	3465	5154
201	3480	5135
202	3496	5116
203	3512	5096
204	3527	5076
205	3543	5056
206	3558	5037
207	3572	5014
208	3587	4995
209	3603	4975
210	3620	4958
211	3635	4939
212	3652	4921
213	3668	4902
214	3684	4884
215	3699	4864
216	3715	4845
217	3731	4826
218	3746	4807
219	3762	4789
220	3777	4769
221	3793	4750
222	3809	4731
223	3825	4713
224	3843	4697
225	3859	4679
226	3872	4657
227	3888	4638
228	3905	4621
229	3922	4604
230	3939	4587
231	3955	4568
232	3970	4550
233	3985	4530
234	4000	4510
235	4014	4491
236	4030	4472
237	4045	4453
238	4060	4434
239	4075	4415
240	4090	4395
241	4104	4376
242	4119	4357
243	4134	4338
244	4150	4320
245	4165	4301
246	4180	4281
247	4195	4263
248	4210	4244
249	4225	4225
250	4242	4208
251	4257	4190
252	4273	4172
253	4289	4154
254	4304	4135
255	4318	4116
256	4332	4096
257	4347	4077
258	4362	4059
259	4377	4040
260	4392	4022
261	4408	4005
262	4422	3985
263	4437	3966
264	4454	3950
265	4470	3932
266	4486	3915
267	4503	3898
268	4519	3880
269	4537	3865
270	4551	3846
271	4568	3829
272	4584	3812
273	4601	3795
274	4617	3778
275	4634	3761
276	4651	3744
277	4667	3727
278	4685	3711
279	4701	3693
280	4717	3676
281	4732	3658
282	4748	3641
283	4764	3623
284	4781	3607
285	4797	3589
286	4814	3573
287	4829	3554
288	4846	3538
289	4860	3519
290	4875	3501
291	4890	3483
292	4907	3466
293	4923	3449
294	4939	3432
295	4956	3415
296	4971	3397
297	4987	3380
298	5002	3363
299	5020	3346
300	5035	3329
301	5052	3312
302	5069	3296
303	5085	3278
304	5101	3261
305	5117	3244
306	5131	3226
307	5148	3209
308	5164	3192
309	5179	3174
310	5193	3156
311	5210	3139
312	5226	3122
313	5241	3105
314	5257	3087
315	5272	3069
316	5287	3052
317	5302	3034
318	5318	3017
319	5332	2999
320	5347	2981
321	5363	2964
322	5379	2947
323	5394	2930
324	5408	2912
325	5424	2895
326	5440	2878
327	5456	2861
328	5471	2843
329	5486	2826
330	5501	2808
331	5517	2792
332	5533	2774
333	5547	2757
334	5563	2740
335	5579	2723
336	5594	2706
337	5610	2689
338	5626	2672
339	5644	2656
340	5662	2640
341	5679	2623
342	5693	2605
343	5709	2589
344	5725	2572
345	5740	2555
346	5755	2537
347	5770	2520
348	5785	2503
349	5800	2486
350	5816	2469
351	5832	2452
352	5849	2435
353	5865	2418
354	5881	2402
355	5896	2385
356	5912	2368
357	5926	2350
358	5941	2333
359	5956	2316
360	5971	2299
361	5986	2282
362	6003	2265
363	6018	2248
364	6033	2231
365	6050	2215
366	6066	2198
367	6083	2182
368	6100	2165
369	6119	2150
370	6137	2134
371	6154	2117
372	6171	2101
373	6187	2084
374	6203	2067
375	6219	2051
376	6235	2034
377	6251	2017
378	6268	2001
379	6284	1984
380	6299	1967
381	6315	1950
382	6333	1934
383	6347	1917
384	6362	1900
385	6377	1883
386	6392	1866
387	6408	1849
388	6423	1832
389	6439	1816
390	6455	1799
391	6470	1782
392	6485	1765
393	6502	1749
394	6517	1732
395	6534	1716
396	6550	1699
397	6566	1682
398	6583	1666
399	6600	1650
400	6616	1633
401	6632	1616
402	6647	1600
403	6665	1583
404	6683	1567
405	6701	1551
406	6717	1535
407	6732	1518
408	6749	1501
409	6765	1485
410	6780	1468
411	6796	1451
412	6811	1434
413	6826	1417
414	6842	1401
415	6857	1384
416	6872	1367
417	6887	1351
418	6904	1334
419	6918	1317
420	6935	1301
421	6951	1284
422	6968	1268
423	6983	1251
424	6997	1234
425	7013	1218
426	7029	1201
427	7044	1185
428	7060	1168
429	7074	1151
430	7090	1135
431	7106	1118
432	7121	1102
433	7137	1085
434	7152	1068
435	7168	1052
436	7184	1035
437	7199	1019
438	7214	1002
439	7228	985
440	7244	969
441	7258	952
442	7273	935
443	7288	919
444	7304	902
445	7319	886
446	7333	869
447	7349	853
448	7364	836
449	7380	820
450	7395	803
451	7410	786
452	7426	770
453	7441	753
454	7457	737
455	7473	721
456	7487	704
457	7503	688
458	7520	671
459	7537	655
460	7554	639
461	7569	622
462	7585	606
463	7601	589
464	7615	573
465	7631	556
466	7646	540
467	7663	524
468	7678	507
469	7694	491
470	7710	474
471	7725	458
472	7740	441
473	7754	425
474	7769	408
475	7784	392
476	7800	376
477	7815	359
478	7831	343
479	7848	327
480	7864	310
481	7879	294
482	7895	277
483	7910	261
484	7925	245
485	7942	228
486	7957	212
487	7973	196
488	7989	179
489	8005	163
490	8021	147
491	8036	130
492	8052	114
493	8067	97
494	8083	81
495	8099	65
496	8115	48
497	8130	32
498	8146	16
499	8162	0
